,defence_scored_average,points_scored_average,sal_diff,in_win_diff,out_win_diff,difference,total_points,target_flag
140,222.0,223.0,2250694.0,0.0,1.0,7,209,0.0
141,194.0,197.0,-15467179.0,0.0,3.0,-16,192,0.0
142,193.0,209.0,-11691212.0,1.0,2.0,4,202,0.0
143,220.0,212.0,21382314.0,1.0,2.0,17,207,0.0
144,193.0,231.0,7218396.0,0.0,3.0,-11,203,0.0
145,204.0,204.0,-19544194.0,-3.0,2.0,-3,217,0.0
146,217.0,214.0,-12612420.0,-1.0,5.0,17,177,0.0
147,225.0,210.0,-14041045.0,-1.0,2.0,-6,190,0.0
148,225.0,214.0,-1109881.0,0.0,2.0,5,243,1.0
149,217.0,209.0,2187430.0,0.0,2.0,8,216,0.0
150,189.0,202.0,-8713986.0,2.0,2.0,-5,229,1.0
151,212.0,205.0,-11620424.0,0.0,1.0,5,231,1.0
152,204.0,206.0,8702819.0,0.0,2.0,-1,195,0.0
153,204.0,193.0,-52920662.0,-2.0,1.0,8,180,0.0
154,195.0,213.0,5331386.0,1.0,2.0,13,227,1.0
155,195.0,210.0,40389346.0,1.0,3.0,5,233,1.0
156,207.0,213.0,11237658.0,3.0,0.0,-7,201,0.0
157,234.0,214.0,31948998.0,1.0,3.0,-14,212,0.0
158,203.0,217.0,23716116.0,-1.0,6.0,11,203,0.0
159,208.0,213.0,18477563.0,1.0,3.0,17,211,0.0
160,205.0,212.0,20218930.0,-1.0,5.0,24,226,1.0
161,203.0,193.0,2443225.0,-2.0,3.0,13,211,0.0
162,200.0,188.0,-57741726.0,-1.0,2.0,-11,241,1.0
163,201.0,202.0,-25801488.0,2.0,2.0,8,196,0.0
164,224.0,236.0,17865059.0,-1.0,6.0,4,230,1.0
165,198.0,200.0,-14016613.0,-1.0,1.0,1,217,0.0
166,210.0,220.0,29387838.0,2.0,3.0,4,240,1.0
167,226.0,210.0,34438446.0,-2.0,3.0,16,206,0.0
168,206.0,211.0,6289980.0,0.0,6.0,3,177,0.0
169,206.0,183.0,-2287522.0,-2.0,1.0,-18,192,0.0
170,207.0,217.0,17860659.0,5.0,3.0,7,215,0.0
171,206.0,208.0,25979035.0,-1.0,2.0,9,231,1.0
172,215.0,212.0,-9201887.0,-2.0,2.0,-16,240,1.0
173,208.0,202.0,16297706.0,1.0,2.0,-4,198,0.0
174,218.0,225.0,4429061.0,3.0,2.0,-7,181,0.0
175,208.0,207.0,-43378154.0,2.0,0.0,-10,158,0.0
176,219.0,213.0,-12400974.0,-2.0,1.0,-7,215,0.0
177,207.0,222.0,7026588.0,1.0,2.0,18,232,1.0
178,202.0,221.0,42003392.0,2.0,5.0,21,249,1.0
179,208.0,217.0,12072499.0,-1.0,6.0,15,207,0.0
180,213.0,190.0,16000303.0,-2.0,3.0,8,188,0.0
181,223.0,211.0,-2828974.0,-2.0,5.0,8,214,0.0
182,215.0,206.0,17649361.0,3.0,1.0,27,209,0.0
183,236.0,212.0,-24910376.0,-2.0,2.0,8,228,1.0
184,204.0,206.0,19161868.0,4.0,2.0,39,227,1.0
